"","Site.Code","mean_Overall.Score","SD_overallscore","SE_overallscore","len","MK_trend","Avg_MKSlope_Overall.Score","Avg_MKtau_Overall.Score","Avg_MKpval_Overall.Score","sites","min","max","med"
"1","05B",79.0020698120129,8.89859391070859,2.81398247307441,10,"none",-0.429747357939507,-0.244444444444444,0.371093369522698,1,63.5483007564511,95.0384779778905,79.7827040240821
"2","08BEA3312",56.6291906471471,12.7421642308688,3.09042876604938,17,"none",-0.359062303753898,-0.102941176470588,0.59230128143299,1,26.6888367750201,81.3307276398932,57.5120667606088
"3","08BEA3321",64.6824010550773,8.00283256148217,2.53071786272431,10,"none",0.273797756046519,0.111111111111111,0.720514787136255,1,50.7126374417576,74.828319944869,66.5616960778599
"4","08BEA3474",36.7849138047232,11.3834808621781,2.7608996459975,17,"positive",1.45749447269728,0.485294117647059,0.00741692466882785,1,18.889936594793,57.328975368197,38.8977522465535
"5","08BEA3478",63.9822294074709,10.2377674702924,2.73615844852097,14,"negative",-1.0323957408341,-0.450549450549451,0.0285390635703624,1,42.6963227151326,78.1265932729681,65.4326699672117
"6","08BEA3571",38.0997203751693,8.60091664497553,1.97318560406659,19,"none",0.1296125702423,0.0409356725146199,0.833735241249933,1,12.7885154061625,49.6153033632874,39.5656214750282
"7","08BEA3650",63.7586587606619,8.25199514672675,1.80073297115636,21,"none",0.466418879038579,0.228571428571429,0.155824587862033,1,48.0565055479556,77.7645810262089,63.3880040388248
"8","08BEA3737",70.3398858373043,10.9347981521026,2.50861474279109,19,"positive",1.24661701119089,0.43859649122807,0.00962740239307892,1,45.2917439517627,85.0846036088854,69.4072247422021
"9","08BEA3747",50.5788038043522,11.7745059888742,2.45515421708163,23,"none",0.116994537727911,0.0197628458498024,0.915866538426518,1,21.5137721755369,71.7639801738729,52.7149954228938
"10","08BEA3826",73.736383419857,8.29779547687621,2.01251101240783,17,"none",0.559815088145964,0.220588235294118,0.232248741984054,1,60.0231978144175,91.1197167565517,72.6284952577522
